engagement_id,customer_id,product_id,session_duration,session_date,device_type,watched_fully
1,1662,4,170,2024-08-21,Tablet,True
2,248,5,221,2024-03-11,Mobile,False
3,1783,9,333,2024-09-17,Tablet,True
4,962,6,102,2024-01-03,Mobile,True
5,1595,5,237,2024-07-02,Mobile,False
6,1970,5,3,2024-02-08,Desktop,False
7,51,1,99,2024-02-14,Tablet,True
8,1708,2,3,2024-05-09,Mobile,True
9,1343,8,339,2024-06-30,Desktop,False
10,393,6,282,2024-06-23,Tablet,True
11,259,10,96,2024-05-09,Desktop,True
12,1683,3,33,2024-08-09,Desktop,True
13,1264,6,225,2024-06-06,Desktop,True
14,1774,8,336,2024-10-08,Tablet,False
15,990,1,66,2024-10-05,Tablet,True
16,1178,3,176,2024-03-12,Desktop,True
17,1219,6,237,2024-02-28,Mobile,True
18,779,10,97,2024-10-06,Mobile,True
19,1127,10,350,2024-08-04,Tablet,True
20,1689,5,271,2024-05-04,Tablet,False
21,1991,10,324,2024-10-21,Mobile,True
22,929,1,295,2024-03-06,Tablet,True
23,1191,7,339,2024-06-15,Tablet,True
24,892,2,151,2024-03-20,Tablet,True
25,605,4,238,2024-05-09,Tablet,False
26,1564,8,314,2024-04-05,Desktop,False
27,977,2,205,2024-09-26,Mobile,False
28,1817,4,295,2024-08-21,Desktop,True
29,271,8,261,2024-07-30,Desktop,True
30,1341,3,163,2024-09-04,Tablet,True
31,918,4,71,2024-06-19,Mobile,False
32,560,8,64,2024-05-11,Desktop,True
33,191,5,222,2024-03-09,Tablet,True
34,18,6,121,2024-05-21,Mobile,False
35,1896,7,265,2024-08-24,Desktop,False
36,1726,1,98,2024-02-06,Tablet,False
37,478,8,197,2024-09-15,Mobile,False
38,174,7,45,2024-09-18,Mobile,False
39,1424,8,69,2024-01-14,Mobile,False
40,1326,5,330,2024-10-17,Mobile,True
41,1665,9,187,2024-09-22,Tablet,False
42,646,10,164,2024-07-04,Desktop,False
43,833,7,161,2024-02-28,Tablet,False
44,169,4,336,2024-07-20,Desktop,False
45,375,6,45,2024-10-31,Desktop,True
46,128,4,242,2024-01-03,Mobile,False
47,379,6,9,2024-03-03,Desktop,False
48,1040,4,185,2024-01-20,Tablet,True
49,1631,3,132,2024-01-19,Tablet,True
50,958,2,181,2024-05-07,Mobile,False
51,555,10,259,2024-11-09,Mobile,True
52,545,6,152,2024-01-16,Desktop,True
53,532,2,346,2024-01-22,Mobile,True
54,750,5,111,2024-02-21,Mobile,True
55,1647,9,283,2024-02-02,Desktop,False
56,577,2,117,2024-08-31,Desktop,True
57,570,8,96,2024-07-28,Tablet,True
58,62,1,213,2024-02-16,Desktop,True
59,626,8,195,2024-07-19,Tablet,True
60,625,10,224,2024-01-03,Desktop,True
61,1335,1,248,2024-08-16,Desktop,False
62,362,7,289,2024-03-16,Tablet,False
63,1517,6,60,2024-09-22,Mobile,True
64,1424,7,119,2024-05-16,Tablet,True
65,1179,5,335,2024-08-18,Tablet,True
66,810,3,115,2024-11-07,Desktop,False
